




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	Quadro.intersect.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Quadro.intersect.genes_uniq.txt (6688)	Quadro.intersect.genes_uniq.txt (expected)	Quadro.intersect.genes_uniq.txt (over/under)	Quadro.intersect.genes_uniq.txt (fold Enrichment)	Quadro.intersect.genes_uniq.txt (raw P-value)	Quadro.intersect.genes_uniq.txt (FDR)
detection of chemical stimulus involved in sensory perception (GO:0050907)	488	2	158.47	-	.01	9.86E-57	1.55E-52
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	443	1	143.86	-	 < 0.01	4.63E-53	3.64E-49
detection of chemical stimulus (GO:0009593)	524	10	170.16	-	.06	1.92E-50	1.01E-46
sensory perception of chemical stimulus (GO:0007606)	542	14	176.01	-	.08	1.99E-48	7.82E-45
sensory perception of smell (GO:0007608)	468	8	151.98	-	.05	2.60E-46	8.16E-43
detection of stimulus involved in sensory perception (GO:0050906)	558	26	181.20	-	.14	6.89E-40	1.81E-36
detection of stimulus (GO:0051606)	694	61	225.37	-	.27	3.43E-32	7.70E-29
cellular process (GO:0009987)	15074	5331	4895.12	+	1.09	2.62E-27	5.15E-24
adaptive immune response (GO:0002250)	640	63	207.83	-	.30	1.02E-26	1.79E-23
biological_process (GO:0008150)	17698	6067	5747.23	+	1.06	1.58E-25	2.26E-22
Unclassified (UNCLASSIFIED)	2897	621	940.77	-	.66	1.58E-25	2.48E-22
positive regulation of cellular process (GO:0048522)	5580	2260	1812.04	+	1.25	2.49E-25	3.27E-22
regulation of cellular metabolic process (GO:0031323)	5928	2379	1925.05	+	1.24	3.11E-25	3.76E-22
regulation of nitrogen compound metabolic process (GO:0051171)	5537	2243	1798.08	+	1.25	3.77E-25	4.23E-22
